iso3,country,years_observed,bii,bii_loss,uk_import_qty_t,log_uk_import_qty_t
IRL,Ireland,5,0.41910919547081005,0.58089080452919,40045.020000000004,10.585135572847966
BRA,Brazil,5,0.7678144097328188,0.23218559026718122,33888.63,10.423087709282257
DNK,Denmark,5,0.44968418478965744,0.5503158152103426,2771.98,7.916164485492162
NLD,Netherlands (Kingdom of the),5,0.5975660324096678,0.40243396759033223,2038.7400000000002,7.197424081810844
FRA,France,5,0.6189695477485658,0.38103045225143417,1886.5,7.330822206681219
BEL,Belgium,5,0.6406126976013183,0.35938730239868166,1005.4799999999999,6.8925725270618745
ARG,Argentina,5,0.7194797635078432,0.2805202364921568,967.0799999999999,6.336206529102428
DEU,Germany,5,0.6822210311889648,0.3177789688110352,874.14,6.744258826905991
SWE,Sweden,5,0.9463332653045654,0.05366673469543461,866.7,6.087114626511027
URY,Uruguay,5,0.33482354879379284,0.6651764512062072,587.3100000000001,5.38963479313277
POL,Poland,5,0.7048526406288149,0.295147359371185,395.36,5.8733330663746175
ROU,Romania,5,0.6123612165451048,0.3876387834548952,382.48,5.724587981263075
USA,United States of America,5,0.6887816309928894,0.3112183690071106,125.502,4.763069130612303
AUT,Austria,4,0.7227313220500947,0.2772686779499053,68.2,3.8322542404022917
BWA,Botswana,1,0.825737714767456,0.17426228523254395,55.0,4.02535169073515
ITA,Italy,5,0.6464956641197205,0.3535043358802796,54.379999999999995,3.5368563045734414
NZL,New Zealand,2,0.6029367446899414,0.39706325531005854,50.0,3.88002034044019
CZE,Czechia,5,0.6136011242866516,0.3863988757133484,15.959999999999999,2.2609203116508594
HRV,Croatia,5,0.8146975517272947,0.1853024482727052,10.32,2.360461218811518
GRC,Greece,5,0.6574933528900146,0.3425066471099854,8.74,2.0747232347940026
AUS,Australia,3,0.6958920756975809,0.304107924302419,7.666666666666667,2.034931077471662
ESP,Spain,4,0.6782027781009672,0.32179722189903276,7.525,1.864546539335122
UKR,Ukraine,5,0.5813190698623656,0.41868093013763436,4.606,1.6292595223675064
BGR,Bulgaria,5,0.7229656577110293,0.2770343422889708,4.2,1.4494161169171513
EST,Estonia,5,0.8773606061935422,0.1226393938064578,4.2,1.6101406762940595
NOR,Norway,4,0.951984778046608,0.048015221953392,2.375,1.1249524175825663
HUN,Hungary,3,0.590643266836802,0.409356733163198,1.8666666666666665,0.9707835548716467
LTU,Lithuania,5,0.6834527254104614,0.3165472745895386,1.86,1.0219150483902317
LVA,Latvia,5,0.8603545904159546,0.1396454095840454,1.73,0.9520926140788253
PRT,Portugal,1,0.766941368579865,0.23305863142013505,0.21,0.19062035960864973
SVK,Slovakia,1,0.678365647792816,0.32163435220718395,0.1,0.09531017980432487
NAM,Namibia,1,0.769852697849274,0.23014730215072599,0.02,0.019802627296179712
