iso3,country,year,uk_import_qty_t,log_uk_import_qty_t,bii,bii_loss
ARG,Argentina,2010,1959.0,7.580699752224563,0.725216865539551,0.274783134460449
ARG,Argentina,2011,1322.0,7.187657164114956,0.723645925521851,0.27635407447814897
ARG,Argentina,2012,1182.0,7.075808863978387,0.72132420539856,0.27867579460144
ARG,Argentina,2013,314.0,5.752572638825633,0.715945065021515,0.284054934978485
ARG,Argentina,2014,58.4,4.084294226368599,0.711266756057739,0.28873324394226096
AUS,Australia,2010,7.0,2.0794415416798357,0.699317038059235,0.30068296194076505
AUS,Australia,2011,13.0,2.6390573296152584,0.693440496921539,0.306559503078461
AUS,Australia,2012,3.0,1.3862943611198906,0.694918692111969,0.305081307888031
AUT,Austria,2011,17.0,2.8903717578961645,0.721503019332886,0.27849698066711404
AUT,Austria,2012,138.0,4.9344739331306915,0.722662448883057,0.277337551116943
AUT,Austria,2013,101.0,4.624972813284271,0.723044335842133,0.276955664157867
AUT,Austria,2014,16.8,2.8791984572980396,0.723715484142303,0.276284515857697
BEL,Belgium,2010,1140.0,7.039660349862076,0.635179936885834,0.36482006311416604
BEL,Belgium,2011,1089.0,6.993932975223189,0.637298345565796,0.362701654434204
BEL,Belgium,2012,649.0,6.476972362889683,0.642101883888245,0.35789811611175504
BEL,Belgium,2013,972.0,6.880384082186005,0.642827212810516,0.357172787189484
BEL,Belgium,2014,1177.4,7.071912865148421,0.645656108856201,0.35434389114379905
BGR,Bulgaria,2010,2.0,1.0986122886681098,0.726798534393311,0.273201465606689
BGR,Bulgaria,2011,2.0,1.0986122886681098,0.724581241607666,0.275418758392334
BGR,Bulgaria,2012,3.0,1.3862943611198906,0.722194015979767,0.27780598402023304
BGR,Bulgaria,2013,2.0,1.0986122886681098,0.721978425979614,0.27802157402038596
BGR,Bulgaria,2014,12.0,2.5649493574615367,0.719276070594788,0.28072392940521196
BRA,Brazil,2010,42473.0,10.656647403002244,0.772108793258667,0.227891206741333
BRA,Brazil,2011,33210.0,10.410636425329677,0.769985854625702,0.23001414537429798
BRA,Brazil,2012,32680.0,10.394549148260978,0.769350051879883,0.23064994812011697
BRA,Brazil,2013,30756.0,10.333872889604516,0.765368223190308,0.23463177680969205
BRA,Brazil,2014,30324.15,10.319732680213868,0.762259125709534,0.23774087429046598
BWA,Botswana,2010,55.0,4.02535169073515,0.825737714767456,0.17426228523254395
CZE,Czechia,2010,35.0,3.58351893845611,0.61229008436203,0.38770991563796997
CZE,Czechia,2011,2.0,1.0986122886681098,0.612789690494537,0.387210309505463
CZE,Czechia,2012,2.0,1.0986122886681098,0.613425195217133,0.386574804782867
CZE,Czechia,2013,6.0,1.9459101490553132,0.614361345767975,0.38563865423202504
CZE,Czechia,2014,34.8,3.5779478934066544,0.615139305591583,0.38486069440841697
DEU,Germany,2010,1056.0,6.963189985870238,0.680931508541107,0.31906849145889304
DEU,Germany,2011,1115.0,7.017506142941256,0.68039333820343,0.31960666179657005
DEU,Germany,2012,762.0,6.637258031284457,0.681620597839355,0.318379402160645
DEU,Germany,2013,885.0,6.786716950605081,0.683412075042725,0.31658792495727495
DEU,Germany,2014,552.7,6.316623023828922,0.684747636318207,0.315252363681793
DNK,Denmark,2010,2549.0,7.843848638152472,0.453926056623459,0.546073943376541
DNK,Denmark,2011,3374.0,8.12415060330663,0.443251311779022,0.556748688220978
DNK,Denmark,2012,3177.0,8.064007347096661,0.452948838472366,0.547051161527634
DNK,Denmark,2013,2282.0,7.733245646529795,0.44943431019783,0.55056568980217
DNK,Denmark,2014,2477.9,7.815570192375248,0.44886040687561,0.55113959312439
ESP,Spain,2010,1.0,0.6931471805599453,0.6658975481987,0.33410245180130005
ESP,Spain,2012,9.0,2.302585092994046,0.674960434436798,0.325039565563202
ESP,Spain,2013,16.0,2.833213344056216,0.682120621204376,0.317879378795624
ESP,Spain,2014,4.1,1.62924053973028,0.689832508563995,0.31016749143600497
EST,Estonia,2010,3.0,1.3862943611198906,0.87871253490448,0.12128746509552002
EST,Estonia,2011,6.0,1.9459101490553132,0.87989330291748,0.12010669708251998
EST,Estonia,2012,3.0,1.3862943611198906,0.878769814968109,0.12123018503189098
EST,Estonia,2013,3.0,1.3862943611198906,0.875263929367065,0.12473607063293501
EST,Estonia,2014,6.0,1.9459101490553132,0.874163448810577,0.12583655118942305
FRA,France,2010,800.0,6.68586094706836,0.616615414619446,0.383384585380554
FRA,France,2011,2982.0,8.000684784514748,0.617727994918823,0.382272005081177
FRA,France,2012,3562.0,8.178358165605836,0.618281483650208,0.38171851634979204
FRA,France,2013,700.0,6.55250788703459,0.620408535003662,0.379591464996338
FRA,France,2014,1388.5,7.236699249182559,0.62181431055069,0.37818568944930997
GRC,Greece,2010,2.0,1.0986122886681098,0.657811760902405,0.342188239097595
GRC,Greece,2011,3.0,1.3862943611198906,0.657465815544128,0.342534184455872
GRC,Greece,2012,14.0,2.70805020110221,0.657111585140228,0.34288841485977195
GRC,Greece,2013,13.0,2.6390573296152584,0.657604932785034,0.34239506721496604
GRC,Greece,2014,11.7,2.5416019934645457,0.657472670078278,0.34252732992172197
HRV,Croatia,2010,11.0,2.4849066497880004,0.815111041069031,0.18488895893096902
HRV,Croatia,2011,4.0,1.6094379124341003,0.816532015800476,0.18346798419952404
HRV,Croatia,2012,14.0,2.70805020110221,0.815910518169403,0.18408948183059703
HRV,Croatia,2013,13.0,2.6390573296152584,0.813385486602783,0.18661451339721702
HRV,Croatia,2014,9.6,2.3608540011180215,0.812548696994781,0.18745130300521895
HUN,Hungary,2012,1.0,0.6931471805599453,0.579747140407562,0.42025285959243797
HUN,Hungary,2013,1.0,0.6931471805599453,0.592244327068329,0.40775567293167103
HUN,Hungary,2014,3.6,1.5260563034950494,0.599938333034515,0.40006166696548495
IRL,Ireland,2010,42289.0,10.652305930466534,0.425106674432755,0.574893325567245
IRL,Ireland,2011,45864.0,10.733457577943756,0.425497710704803,0.574502289295197
IRL,Ireland,2012,46492.0,10.747057042609113,0.425847917795181,0.574152082204819
IRL,Ireland,2013,31006.0,10.341968264428457,0.413232445716858,0.586767554283142
IRL,Ireland,2014,34574.1,10.450889048791971,0.405861228704453,0.594138771295547
ITA,Italy,2010,21.0,3.091042453358316,0.63638824224472,0.36361175775528
ITA,Italy,2011,162.0,5.093750200806762,0.646504461765289,0.353495538234711
ITA,Italy,2012,60.0,4.110873864173311,0.646705090999603,0.35329490900039695
ITA,Italy,2013,10.0,2.3978952727983707,0.650798320770264,0.349201679229736
ITA,Italy,2014,18.9,2.990719731730447,0.652082204818726,0.34791779518127397
LTU,Lithuania,2010,1.0,0.6931471805599453,0.694119572639465,0.305880427360535
LTU,Lithuania,2011,2.0,1.0986122886681098,0.68966817855835,0.31033182144164995
LTU,Lithuania,2012,3.0,1.3862943611198906,0.6845543384552,0.3154456615448
LTU,Lithuania,2013,2.0,1.0986122886681098,0.677380979061127,0.32261902093887296
LTU,Lithuania,2014,1.3,0.832909122935104,0.671540558338165,0.32845944166183505
LVA,Latvia,2010,1.0,0.6931471805599453,0.862397253513336,0.13760274648666404
LVA,Latvia,2011,3.0,1.3862943611198906,0.861587703227997,0.13841229677200295
LVA,Latvia,2012,1.0,0.6931471805599453,0.859036326408386,0.140963673591614
LVA,Latvia,2013,1.0,0.6931471805599453,0.859663546085358,0.140336453914642
LVA,Latvia,2014,2.65,1.2947271675944,0.859088122844696,0.14091187715530396
NAM,Namibia,2014,0.02,0.019802627296179712,0.769852697849274,0.23014730215072599
NLD,Netherlands (Kingdom of the),2010,529.0,6.272877006546167,0.591717660427094,0.40828233957290605
NLD,Netherlands (Kingdom of the),2011,4906.0,8.498418036089904,0.593866109848022,0.406133890151978
NLD,Netherlands (Kingdom of the),2012,2175.0,7.685243607975833,0.596339404582977,0.40366059541702304
NLD,Netherlands (Kingdom of the),2013,333.0,5.811140992976701,0.600988686084747,0.399011313915253
NLD,Netherlands (Kingdom of the),2014,2250.7,7.719440765465614,0.604918301105499,0.39508169889450095
NOR,Norway,2011,2.0,1.0986122886681098,0.951800167560577,0.04819983243942305
NOR,Norway,2012,3.0,1.3862943611198906,0.951871991157532,0.04812800884246804
NOR,Norway,2013,4.0,1.6094379124341003,0.952135980129242,0.047864019870757946
NOR,Norway,2014,0.5,0.4054651081081644,0.952130973339081,0.04786902666091897
NZL,New Zealand,2012,66.0,4.204692619390966,0.603472113609314,0.39652788639068604
NZL,New Zealand,2013,34.0,3.5553480614894135,0.602401375770569,0.39759862422943104
POL,Poland,2010,221.0,5.402677381872279,0.698171138763428,0.30182886123657204
POL,Poland,2011,230.0,5.442417710521793,0.694046258926392,0.30595374107360795
POL,Poland,2012,309.0,5.736572297479192,0.698515117168427,0.30148488283157304
POL,Poland,2013,729.0,6.593044534142437,0.712088763713837,0.287911236286163
POL,Poland,2014,487.8,6.191953407857386,0.721441924571991,0.27855807542800903
PRT,Portugal,2014,0.21,0.19062035960864973,0.766941368579865,0.23305863142013505
ROU,Romania,2010,108.0,4.6913478822291435,0.609481990337372,0.39051800966262795
ROU,Romania,2011,235.0,5.4638318050256105,0.613204479217529,0.38679552078247104
ROU,Romania,2012,781.0,6.661854740545311,0.618292689323425,0.38170731067657504
ROU,Romania,2013,543.0,6.298949246855942,0.610755920410156,0.38924407958984397
ROU,Romania,2014,245.4,5.506956231659364,0.610071003437042,0.389928996562958
SVK,Slovakia,2014,0.1,0.09531017980432487,0.678365647792816,0.32163435220718395
SWE,Sweden,2010,1538.0,7.338888133838879,0.943167984485626,0.056832015514374
SWE,Sweden,2011,1747.0,7.466227556215481,0.944839000701904,0.055160999298096036
SWE,Sweden,2012,874.0,6.774223886357614,0.9464390873909,0.05356091260910001
SWE,Sweden,2013,115.0,4.7535901911063645,0.947933912277222,0.05206608772277799
SWE,Sweden,2014,59.5,4.102643365036796,0.949286341667175,0.05071365833282504
UKR,Ukraine,2010,1.0,0.6931471805599453,0.581691563129425,0.41830843687057495
UKR,Ukraine,2011,6.0,1.9459101490553132,0.581413745880127,0.41858625411987305
UKR,Ukraine,2012,6.0,1.9459101490553132,0.581211447715759,0.41878855228424094
UKR,Ukraine,2013,6.0,1.9459101490553132,0.581225216388702,0.41877478361129805
UKR,Ukraine,2014,4.03,1.6154199841116479,0.581053376197815,0.41894662380218495
URY,Uruguay,2010,2313.0,7.746732907753622,0.339179188013077,0.660820811986923
URY,Uruguay,2011,180.0,5.198497031265826,0.335196942090988,0.6648030579090121
URY,Uruguay,2012,299.0,5.703782474656201,0.334874957799911,0.665125042200089
URY,Uruguay,2013,109.0,4.700480365792417,0.332542479038239,0.667457520961761
URY,Uruguay,2014,35.55,3.5986811861957873,0.332324177026749,0.667675822973251
USA,United States of America,2010,55.0,4.02535169073515,0.688368797302246,0.311631202697754
USA,United States of America,2011,103.0,4.6443908991413725,0.689221143722534,0.31077885627746604
USA,United States of America,2012,190.0,5.25227342804663,0.687221765518188,0.31277823448181197
USA,United States of America,2013,136.0,4.919980925828125,0.691076457500458,0.308923542499542
USA,United States of America,2014,143.51,4.973348709310239,0.688019990921021,0.31198000907897905
